symbol,companyName,sector,industry,mcap_tier,marketCap_B,beta,close_today,ret_1D,ret_3D,ret_1W,dollar_vol_M
CHKP,Check Point Software Technologies Ltd.,Technology,Software - Infrastructure,L3 · Mid $5B-$30B,13.69,0.428,135.68,-3.13,0.47,5.42,247.6
VSNT,"Versant Media Group, Inc. Class A",Industrials,Advertising Agencies,L3 · Mid $5B-$30B,6.13,0.009855818,40.21,-3.13,-6.79,-7.35,73.3
OLED,Universal Display Corporation,Technology,"Hardware, Equipment & Parts",L4 · Small $1B-$5B,4.4,1.539,90.84,-3.15,-1.39,-1.05,50.9
TIGO,Millicom International Cellular S.A.,Communication Services,Telecommunications Services,L3 · Mid $5B-$30B,14.04,0.899,86.07,-3.16,0.83,1.65,120.3
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,L1 · Mega ≥$100B,3171.87,1.093,427.34,-3.17,-5.09,3.55,15364.6
TTAN,"ServiceTitan, Inc.",Technology,Software - Application,L3 · Mid $5B-$30B,6.27,-0.23175782,72.63,-3.17,0.37,14.76,168.1
AXIA,AXIA Energia S.A.,Utilities,Renewable Utilities,L3 · Mid $5B-$30B,23.43,0.328,10.02,-3.19,-3.28,-3.93,19.7
APOG,"Apogee Enterprises, Inc.",Industrials,Construction,L5 · Micro <$1B,0.81,1.157,37.33,-3.21,-2.81,-0.72,6.7
XMTR,"Xometry, Inc.",Industrials,Industrial - Machinery,L4 · Small $1B-$5B,4.87,1.004,82.25,-3.24,-13.68,-13.02,93.5
JBLU,JetBlue Airways Corporation,Industrials,"Airlines, Airports & Air Services",L4 · Small $1B-$5B,2.0,1.691,4.77,-3.25,-12.8,-11.67,122.2
KLAR,Klarna Group plc,Technology,Software - Infrastructure,L3 · Mid $5B-$30B,6.58,1.429002,16.95,-3.25,-7.33,-1.74,110.9
LION,Lionsgate Studios Corp.,Communication Services,Entertainment,L4 · Small $1B-$5B,4.14,0.09595854,13.36,-3.26,-6.9,-4.57,32.9
BA,The Boeing Company,Industrials,Aerospace & Defense,L1 · Mega ≥$100B,180.35,1.207,210.58,-3.27,-8.9,-6.12,1541.8
DELL,Dell Technologies Inc.,Technology,Computer Hardware,L1 · Mega ≥$100B,214.01,1.062,421.08,-3.27,0.04,37.91,5867.7
GENI,Genius Sports Limited,Communication Services,Internet Content & Information,L4 · Small $1B-$5B,1.44,1.796,5.89,-3.28,0.51,6.9,40.1
SBGI,"Sinclair, Inc.",Communication Services,Entertainment,L5 · Micro <$1B,1.0,1.086,13.53,-3.29,-2.17,-4.25,6.3
OPRA,Opera Limited,Communication Services,Internet Content & Information,L4 · Small $1B-$5B,1.64,1.2293631,18.38,-3.31,-2.13,1.21,4.6
INTU,Intuit Inc.,Technology,Software - Application,L2 · Large $30B-$100B,85.62,1.035,311.44,-3.32,-6.06,1.21,1758.1
ACMR,"ACM Research, Inc.",Technology,Semiconductors,L3 · Mid $5B-$30B,5.95,1.821,88.86,-3.33,2.66,0.25,142.6
BAND,Bandwidth Inc.,Technology,Software - Infrastructure,L4 · Small $1B-$5B,1.85,2.725,65.6,-3.34,0.97,16.85,44.8
CDRE,"Cadre Holdings, Inc.",Industrials,Aerospace & Defense,L4 · Small $1B-$5B,1.37,1.319,29.19,-3.34,-6.26,-4.92,11.3
ICHR,"Ichor Holdings, Ltd.",Technology,Semiconductors,L4 · Small $1B-$5B,2.44,1.879,72.45,-3.34,1.3,-1.75,49.6
TRI,Thomson Reuters Corporation,Industrials,Specialty Business Services,L2 · Large $30B-$100B,36.88,0.201,83.43,-3.36,-3.56,1.53,90.2
ATS,ATS Corporation,Industrials,Industrial - Machinery,L4 · Small $1B-$5B,2.98,1.274,28.85,-3.38,-6.69,-18.2,3.4
EFX,Equifax Inc.,Industrials,Consulting Services,L3 · Mid $5B-$30B,19.76,1.347,170.16,-3.38,2.64,3.95,218.7
UAL,"United Airlines Holdings, Inc.",Industrials,"Airlines, Airports & Air Services",L2 · Large $30B-$100B,37.35,1.206,105.14,-3.38,-8.41,-6.64,388.1
DT,"Dynatrace, Inc.",Technology,Software - Application,L3 · Mid $5B-$30B,11.81,0.702,43.44,-3.4,2.0,11.64,230.9
KSPI,Joint Stock Company Kaspi.kz,Technology,Software - Infrastructure,L3 · Mid $5B-$30B,17.63,0.075,85.63,-3.4,-5.28,-8.08,49.7
NBIS,Nebius Group N.V.,Communication Services,Internet Content & Information,L2 · Large $30B-$100B,54.32,1.238,251.68,-3.42,8.91,20.79,2539.6
RSKD,Riskified Ltd.,Technology,Software - Application,L5 · Micro <$1B,0.73,1.39,4.8,-3.42,-1.64,3.45,3.4
DOX,Amdocs Limited,Technology,Software - Infrastructure,L3 · Mid $5B-$30B,6.63,0.406,60.84,-3.43,-3.38,-0.73,80.2
NSIT,"Insight Enterprises, Inc.",Technology,Technology Distributors,L4 · Small $1B-$5B,3.12,0.956,115.6,-3.43,8.67,12.42,85.2
IT,"Gartner, Inc.",Industrials,Consulting Services,L3 · Mid $5B-$30B,10.79,0.909,164.75,-3.44,1.57,2.99,179.7
LUV,Southwest Airlines Co.,Industrials,"Airlines, Airports & Air Services",L3 · Mid $5B-$30B,21.17,1.113,40.87,-3.47,-4.84,-6.43,152.5
